Waffles, buttermilk, frozen, ready-to-heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.48,464,1941,7.19,19.5,3.95,64.88,2.4,10.41,7.97,0.95,1.1,0,0.39,0,51.1,734,6.64,28,100,117,752,4.11,0.113,0.845,0.8,2.634,0.002,0.016,0.168,0.133,1.031,0.422,0.001,0.581,0.003,0.25,0.012,0.01,0.005,14.468,0.006,0,0.01,0.008,7.192,0.045,0.001,1.265,0.612,0.02,0,0,0,0,0,0,0,2.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread, white wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.6,238,994,10.66,2.15,3.69,43.91,9.2,5,0,1.5,2.7,0,0.8,0,27.25,684,4.89,26,103,127,478,0.95,0.149,0.634,16.1,0,0.51,0.255,4.455,0.455,0.08,127,49,78,162,8.1,0,0,0,0,0,2,0,0,4,0,25,0.38,0,0,0,7.7,0.63,0.002,0,0.007,0.004,0.013,0.007,0.003,0.324,0.004,0.251,0.005,0.006,0.003,0.393,0,0,0.016,0.002,0.366,0.01,0,0.973,0.879,0.083,0,0.002,0,0.002,0.003,0,0,0.031,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagels, wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.55,250,1047,10.2,1.53,1.82,48.89,4.1,6.12,20,2.76,51,142,165,439,1.1,0.175,1.43,28.7,24.1,0,0.403,0.209,3.37,0.375,0.147,76,46,31,108,9.8,21.6,0,0,0,0,2,0,0,0,0,88,0.32,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0.008,0,0.277,0.005,0,0.936,0.859,0.076,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cream puff, eclair, custard or cream filled, iced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.64,334,1398,4.41,18.52,1,37.43,0.9,22.05,35,0.95,10,71,68,265,0.45,0.06,0.224,15.5,0,0.263,0.241,1.908,0.471,0.041,66,49,16,100,44.2,11.5,0.17,0,23,22,1,0,1,88,0,86,0.95,0,11,0.3,6.7,7.055,0.002,0,0.001,0.002,0,0.051,0.002,3.748,0.029,3.01,0.105,0.091,0.013,6.07,0.001,0,0.033,0.002,6.018,0.016,0,4.173,3.861,0.266,0,0.003,0.003,0.028,0,0.001,0.009,0,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas, ready-to-bake or -fry, flour, shelf stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.43,297,1244,8.01,7.58,2.71,49.27,2.4,2.66,0.48,0.09,0.03,0,2.06,0,40.2,163,3.32,21,213,133,742,0.57,0.115,0.516,21.9,20,0,0.487,0.124,4.191,0.283,0.028,118,100,19,188,6.8,45.4,0,0,0,0,0,0,0,0,0,12,0.86,0,0.06,2.32,0.58,0.01,0.05,0,0,0,0,4.2,0,1.225,0,0,0,0,0,0.014,0,0.735,0,0.445,0.023,0.011,3.801,0,0,0.007,0,3.748,0.046,0,2.152,1.764,0.387,0,0,0,0,0,0,0,0.014,0,0.082,0.182,0.231,0.459,0.147,0.118,0.142,0.336,0.202,0.268,0.27,0.149,0.215,0.281,2.249,0.24,0.774,0.333,0,0,,
Snacks, beef jerky, chopped and formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.36,410,1715,33.2,25.6,6.8,11,1.8,9,20,5.42,51,407,597,1785,8.11,0.227,0.111,10.7,0,0.154,0.142,1.732,0.163,0.179,134,0,134,134,109.1,0.99,0,0,0,0,0,0,0,0,0,0.49,0,11,0.3,2.3,10.85,0,0,0,0.015,0.162,0.819,5.72,3.897,11.305,1.135,10.099,0.071,0,1.011,0.81,0.185,0,0.016,0,0,0,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snacks, corn-based, extruded, chips, plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.07,539,2256,6.17,33.36,2.13,57.27,4,0.27,0.27,0,0,0,0,0,51.36,138,1.2,72,194,144,514,1.29,0.101,0.333,7.6,51.9,0,0.047,0.078,0.842,0.19,0.167,8,0,8,8,12.1,0.1,0,0,3,0,20,2,41,69,0,527,7.23,0,0.35,17.84,0.6,0.9,0,0,0,0,0,6.3,16.8,4.331,0.001,0,0.01,0.004,0.001,0.012,0.004,3.511,0.02,0.552,0.119,0.041,0.055,9.134,0,0,0.031,0.011,8.986,0.103,0.002,16.438,16.135,0.278,0,0.007,0.006,0.006,0.006,0,0,0.088,0,0.046,0.246,0.235,0.803,0.185,0.137,0.119,0.322,0.266,0.331,0.326,0.2,0.491,0.456,1.23,0.269,0.572,0.312,0,0,
